Game Title,Designer(s),Moby ID,IGDB ID,Year,PEGI Rating,ESRB Rating,Age Rating,Done,Relevant,Fragrance(s) Mentioned,Mechanics,Notes,Anticipatory Breath Spray,Clothespin Nose Plug,Delicious Distraction,Evil Smells Bad,Fartillery,Follow Your Nose,Good Smells Good,Humans Are Smelly,I Love the Smell of X in the Morning,Pepper Sneeze,Perfumigation,Perverted Sniffing,Pheromones,Signature Scent,Smells Sexy,Smells of Death,Smelly Feet Gag,Smelly Skunk,Sneeze of Doom,Sniff Sniff Nom,Stink Bomb,Stink Snub,Stinky Flower,The Nose Knows,They Have the Scent!,Visible Odor,Weaponized Stench,You Need a Breath Mint,Other (added by Jas)
Grandia II,,4091,9580,2000,,Teen,,TRUE,TRUE,"Melfice, Ryudo","Localizing, Misdirecting, Identifying",,,,,,,,,,,,,,,"The beastman Mareg uses his sense of smell to track the villain Melfice. Mareg frequently mutters ""This SMELL... MELFICE!"" before attacking anything carrying Melfice’s scent. This becomes a critical plot point when the protagonist, Ryudo, first encounters Mareg—because he and Melfice share a similar scent, leading to immediate conflict.",,,,,,,,,,,,,,,
GU Fighters (Playtest),,,,2024,,,,TRUE,TRUE,fart,"Emanating, Damaging",,,,,,Several characters use gas-based attacks as part of their movesets. These include: A character based on Tekken's Gon who attacks with a green gas cloud. A character based on Fernandeath who farts out a series of black spheres. A character based on Tails who has both a projectile and an instant-death super attack using gas.,,,,,,,,,,,,,,,,,,,,,,,,
Gun Devil,,189237,145027,2022,,,,TRUE,TRUE,"fart, chili","Emanating, Damaging, Eating",,,,,,The Canis Major boss attacks exclusively using fart-based projectiles after eating chili.,,,,,,,,,,,,,,,,,,,,,,,,
Gunstar Heroes,,6581,248636,1993,3,Everyone,,TRUE,TRUE,fart,"Emanating, Damaging",,,,,,"Orange has an attack called ""Break Wind"", which he uses when players hang from the helicopter. This attack is a gas-based offensive move.",,,,,,,,,,,,,,,,,,,,,,,,
Half-Life 2,,15564,233,2004,16,Mature,,TRUE,TRUE,Antlion Guard's pheromones,"Emanating, Signaling, Masking",,,,,,,,,,,,,,Players can control Antlions after obtaining an Antlion Guard's pheromone gland.,,,,,,,,,,,,,,,,
Halo 3,,30479,987,2007,16,Mature,,TRUE,TRUE,humans,"Localizing, Navigating",,,,,,,,,,,,,,,,,,,,,,,,,,"During the opening cutscene, the Arbiter warns that the Brutes have picked up their scent, implying that Brutes (Jiralhanae) can track enemies via smell. This leads to a humorous exchange with Sergeant Johnson, who jokes about what they must be smelling, with different punchlines depending on the difficulty level.",,,,
Halo: Combat Evolved,,5368,740,2001,16,Mature,,TRUE,TRUE,pheromones,"Signaling, Emanating",,,,,,,,,,,,,,Drones (Yanme'e) use pheromones as part of their Starfish Language.,,,,,,,,,,,,,,,,
Helltaker,,145450,133152,2020,,,,TRUE,TRUE,Cerberus girls,"Identifying, Localizing",,,,,,,,,,,,,,,,,,,,,,,,,"Cerberus—represented as three demon girls with dog-like traits rather than a traditional three-headed dog—retains a canine sense of smell. They can identify which demon girl is nearby based on their distinct scents, such as cigarette smoke or hard liquor.",,,,,
Hollow Knight,,84194,14593,2017,7,Everyone,,TRUE,TRUE,heroic odour,"Emanating, Damaging",,,,,,"The Defender’s Crest is a Charm obtained by defeating the Dung Defender. When equipped, it causes the Knight to emit toxic clouds of ""heroic odour,"" which poison nearby enemies over time. This effect also synergizes with other Charms, enhancing their offensive capabilities: Flukenest (which normally turns Vengeful Spirit into a shotgun-like burst) now releases poisonous clouds. Glowing Womb (which normally summons kamikaze fly-minions) causes the flies to leave behind toxic fumes when they explode.",,,,,,,,,,,,,,,,,,,,,,"The Defender’s Crest is a Charm obtained by defeating the Dung Defender. When equipped, it causes the Knight to emit toxic clouds of ""heroic odour,"" which poison nearby enemies over time. This effect also synergizes with other Charms, enhancing their offensive capabilities: Flukenest (which normally turns Vengeful Spirit into a shotgun-like burst) now releases poisonous clouds. Glowing Womb (which normally summons kamikaze fly-minions) causes the flies to leave behind toxic fumes when they explode.",,
Home Alone,,22944,243891,1991,,,,TRUE,TRUE,pepper,"Emanating, Reflexing",,,,,,,,,,,"Kevin McCallister can craft various homemade weapons to defend his house from Harry and Marv. One such weapon is the Pepper Bazooka, which launches pepper at the burglars, causing them to go into a sneezing fit.",,,,,,,,,,,,,,,,,,,
I Was a Teenage Exocolonist,,163573,146054,2022,,Teen,,TRUE,TRUE,Dys,"Signaling, Judging",,,,,,,,,,,,,,,,,,,,,,,"The character Marz frequently insults Dys by complaining about his smell. The player (Sol) can choose to join in, which in one instance unlocks a card called ""Being a Bully."" While Marz’s comments seem like mere taunts, there is some truth behind them—Dys often sneaks out of the colony through a drainpipe, while Marz avoids going outside in bad weather to keep her clothes pristine.",,,,,,,
Iconoclasts,,101724,34705,2018,12,Teen,,TRUE,TRUE,MIna,"Detecting, Judging, Punishing, Navigating",,,,,,,,,,,,,,,,,,,,,,,"Mina is repeatedly reminded that she smells. This trait directly affects gameplay during the boss fight against Ash, where Robin and Mina must hide in tall grass or water before ambushing him. While Robin can hide anywhere without issue, Mina can only hide in water, as Ash will smell her if she tries hiding in the grass.",,,,,,,
Impossible Creatures,,8461,14551,2003,12,Teen,,TRUE,TRUE,stink cloud,"Emanating, Buffing",,,,,,,,,,,,,,,,,,,"The Skunk and Shield Bug weaponize their stink by expelling a large Stink Cloud. This dense cloud obstructs ranged attacks, preventing enemies inside from attacking out and enemies outside from attacking in. Additionally, non-immune enemies inside the cloud are slowed.",,,,,,,,,,,
Infested,,153284,262554,2016,,,,TRUE,TRUE,blood,"Luring, Eating",,,,Players must distract the slime enemy by throwing a packet of blood at it. The slime is attracted to the scent/taste of blood.,,,,,,,,,,,,,,,,,,,,,,,,,,
Inkulinati,,198799,110957,2023,,,,TRUE,TRUE,fart,"Emanating, Damaging, Buffing",,,,,,"The Devils' ""Pyroflatulence"" attack produces a fiery fart cloud, leaving behind fire sparks. Additionally, the Bonnacon (a mythical bull-like creature) can release a two-tile-long fart, which can either ignite into fire sparks or form infection clouds.",,,,,,,,,,,,,,,,,,,,,,,,
JoJo's Bizarre Adventure: All-Star Battle,,76542,6517,2013,,Teen,,TRUE,TRUE,fart,"Emanating, Damaging",,,,,,Iggy's Great Heat Attack (GHA) concludes with him delivering a fart to the opponent’s face—if the player is using his original design.,,,,,,,,,,,,,,,,,,,,,,,,
JoJo's Bizarre Adventure: Heritage for the Future,,,75962,1999,,,,TRUE,TRUE,fart,"Emanating, Damaging",,,,,,"Iggy uses his Stand, The Fool, to restrain opponents' feet, preventing them from escaping. He then farts in their face as part of his basic throw move.",,,,,,,,,,,,,,,,,,,,,,,,
"King's Quest VI: Heir Today, Gone Tomorrow",,131,7501,1992,,,,TRUE,TRUE,"Alexander's spell (intoxicating), Flower of Stench (rotten eggs, foul)","Emanating, Enchanting, Luring, Masking, Detecting, Identifying",,,,,,,"Alexander must tame a winged horse named Nightmare while following the longer Story Branching path. He uses a magic spell that manifests as a beckoning hand made of steam, luring Nightmare towards him. The narration describes that all of the horse’s senses are dulled except for its heightened response to the intoxicating smell produced by the spell.",,,,,,,,,,,,,,,,,"Alexander acquires the Flower of Stench, a blossom that emits an overpowering odor reminiscent of rotten eggs. This foul-smelling flower is crucial for sneaking past a gnome with a superhuman sense of smell. By masking Alexander’s scent, it allows him to remain undetected.","Tom Trow, a gnome-like creature, possesses an enormous nose that grants him an extraordinary sense of smell. He uses this heightened olfactory ability to detect and identify intruders.",,,,,
Kingdom Hearts: Chain of Memories,,15798,1220,2004,3,Everyone,,TRUE,TRUE,"darkness, Riku's darkness","Detecting, Identifying, Misdirecting, Navigating, Discriminating",,,,,"Riku develops an ability to ""smell"" darkness, allowing him to track Ansem and members of Organization XIII by the stench of their dark energy. He also realizes that Naminé completely lacks this scent, which leads him to deduce her connection to his friend Kairi. Meanwhile, Zexion shares a similar ability, using scent to perceive people's auras.",,,,,,,,,,"Zexion possesses the unique ability to ""smell"" darkness, allowing him to detect individuals with dark energy. He mistakenly identifies Riku’s scent as belonging to the Superior of Organization XIII, Xemnas. This confusion arises because Riku harbors the lingering presence of Ansem, Seeker of Darkness, a fragment of Xehanort’s Heartless, making his darkness similar in scent to Xemnas, Xehanort’s Nobody.",,,,,,,,,,"Riku develops an ability to ""smell"" darkness, allowing him to track Ansem and members of Organization XIII by the stench of their dark energy. He also realizes that Naminé completely lacks this scent, which leads him to deduce her connection to his friend Kairi. Meanwhile, Zexion shares a similar ability, using scent to perceive people's auras.",,,,,
Kingdom of Loathing,,34946,79796,2003,,,,TRUE,TRUE,Stench,"Emanating, Damaging",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stench is one of the primary elemental forces, alongside Fire, Cold, Spooky, and Sleaze. Stench damage is commonly inflicted by the Filthy Hippies of the Mysterious Island of Mystery, among other enemies. This element represents foul odors and toxic miasmas, often used as an attack type or environmental hazard.",,
La-Mulana,,34828,7895,2005,,,,TRUE,TRUE,pepper,"Emanating, Reflexing",,,,,,,,,,,"The player must use pepper to induce a sneeze from a statue. When the statue sneezes, it reveals hidden treasure.",,,,,,,,,,,,,,,,,,,
Leisure Suit Larry in the Land of the Lounge Lizards,,,2906,1987,,,,TRUE,TRUE,"Larry's bad breath, breath spray","Punishing, Buffing",,"Larry's bad breath is an in-game mechanic that affects interactions with NPCs. If Larry does not use breath spray regularly, characters will refuse to speak with him. The game will also remind the player about Larry's terrible breath if he is alone. The breath spray serves as a necessary item to maintain social interactions.",,,,,,,,,,,,,,,,,,,,,,,,,,,"Larry's bad breath is an in-game mechanic that affects interactions with NPCs. If Larry does not use breath spray regularly, characters will refuse to speak with him. The game will also remind the player about Larry's terrible breath if he is alone. The breath spray serves as a necessary item to maintain social interactions.",
Like a Dragon (series),,24425,2059,2005,18,Mature,,TRUE,TRUE,Nanba's bad breath,"Emanating, Buffing",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nanba, a former nurse turned homeless man, possesses severe halitosis, which he weaponizes in various combat skills. By exhaling foul breath upon enemies, he inflicts status effects and debuffs.",,
Little King's Story,,41113,4974,2009,7,Teen,,TRUE,TRUE,fart,"Emanating, Buffing, Damaging",,,,,,The Rat King and his minions attack by releasing foul-smelling gas. This attack not only damages but also stuns enemies.,,,,,,,,,,,,,,,,,,,,,,,,
Live A Live,,9313,15835,1994,,Teen,,TRUE,TRUE,"meat, fart","Localizing, Navigating, Detecting, Emanating, Damaging, Buffing",,,,,,"Both Pogo and his monkey companion Gori possess gas-based attacks as part of their battle abilities. These attacks function as area-of-effect (AoE) moves, emitting a foul-smelling gas (fart) to damage or debuff enemies.",,,,,,,,,,,,,,,,,,,"The Prehistory Chapter introduces scent tracking as a key gameplay mechanic used by Pogo, the protagonist, and his companion Gori to hunt, locate invisible enemies, and track objects or characters by following their scent trails. This ability is also essential in story progression and plays a role in the game’s Final Chapter, where Pogo’s Trial of Instinct requires him to sniff out the entrance to a hidden labyrinth and track the scent of meat to obtain the powerful Great Stone Axe.",,,,,
Lost Kingdoms,,6504,3981,2002,,Teen,,TRUE,TRUE,fart,"Emanating, Buffing",,,,,,"Hobgoblins possess a fart-based attack that targets Katia, the game's protagonist. If hit, Katia turns green and is afflicted with a temporary debuff, causing her to pause movement every 2 seconds due to the overpowering stench.",,,,,,,,,,,,,,,,,,,,,,,,
M.U.G.E.N,,,22850,1999,,,,TRUE,TRUE,fart,"Emanating, Buffing, Damaging, Repeling, Trapping",,,,,,"M.U.G.E.N. features numerous fighters with fart-based mechanics, often used as attacks, stuns, or humorous debuffs. Many characters have gas-related projectiles, area-of-effect attacks, poison effects, and even taunts that release debilitating clouds. Some characters use farts as direct attacks, while others incorporate them into unique mechanics such as ""hot boxing"" traps, poison damage over time, or even flamethrower-like emissions.",,,,,,,,,,,,,,,,,,,,,,,,
Magical Starsign,,26721,15839,2006,7,Everyone,,TRUE,TRUE,body odor,"Emanating, Buffing, Damaging",,,,,,,,,,,,,,,,,,,,,,,,,,,,"The boss Gil Mudflap uses his overwhelming body odor as a weapon, dealing damage and inflicting status effects on both the player’s party and his own Buck Private minions due to a lack of Friendly Fire protection.",,
Magician's Quest: Mysterious Times,,85742,21183,2008,,Everyone,,TRUE,TRUE,fart,"Emanating, Repeling, Reflexing",,,,,,"Players can cast the ""Flatulence"" spell, which causes ghosts to pass gas. Instead of just being humorous, this spell launches the ghosts into the air like rockets, effectively banishing them from the screen until the player leaves the area.",,,,,,,,,,,,,,,,,,,,,,,,
Maka Maka,,210944,42305,1992,,,,TRUE,TRUE,fart,"Emanating, Damaging",,,,,,"The second boss, Princess Gourmet, primarily attacks by farting. If the player is eaten by her, the only way to escape her stomach is by using farts as well.",,,,,,,,,,,,,,,,,,,,,,,,
Mario & Luigi: Bowser's Inside Story,,42684,3363,2009,3,Everyone,,TRUE,TRUE,fart,"Emanating, Buffing",,,,,,Durmite (later Wisdurm) uses a fart as an escape mechanic to evade capture by Luigi.,,,,,,,,,,,,,,,,,,,,,,,,
Mass Effect,,31277,73,2007,18,Mature,,TRUE,TRUE,pheromones,"Emanating, Detecting, Signaling, Identifying",,,,,,,,,,,,,,"The elcor species communicates primarily through pheromones, along with infrasound and subtle body language, since their spoken language is otherwise monotone. This necessitates explicitly stating their emotions when communicating with other species. Additionally, Javik, the last surviving Prothean, has the ability to detect pheromones, allowing him to infer relationships between characters.",,,,,,,,,,,,,,,,
Mass Effect: Andromeda,,85797,7349,2017,16,,,TRUE,TRUE,rock,"Eating, Punishing",,,,,,,,,,,,,,,,,,,,,"Science officer Suvi Anwar reflexively performs a ""lick test"" on an alien rock, a common scientific habit used to identify minerals. However, she immediately realizes this was a bad idea given the hostile environmental conditions of the Heleus Cluster, which has been disrupted by dark energy anomalies and malfunctioning terraforming technology. Fortunately, she suffers no lasting effects from this mistake.",,,,,,,,,
Maximo: Ghosts to Glory,,5806,22054,2001,,Teen,,TRUE,TRUE,feet (smelly),Buffing,,,,,,,,,,,,,,,,,,"Players can purchase a Smelly Feet power-up, which gives Maximo visibly stinky feet. This olfactory-based buff allows him to move across cursed areas without losing movement speed.",,,,,,,,,,,,
Metal Gear Solid 2: Sons of Liberty,,5211,376,2001,,Mature,,TRUE,TRUE,Solid Snake,Identifying,,,,,,,,,,,,,,,"In Metal Gear Solid 2: Sons of Liberty, Mad Bomber Fatman uses a signature cologne and puts a bit of it in every bomb he makes, which Stillman is easily able to use to detect them. However, they all turn out to be a decoy for two massive scentless bombs placed in critical points of the structure.",,,,,,,,,,Vamp demonstrates his supernatural sense of smell by immediately detecting that Iroquois Pliskin is actually Solid Snake in disguise.,,,,,
Metal Gear Solid 3: Snake Eater,,15735,379,2004,16,Mature,,TRUE,TRUE,Tatyana (motorcycle gasoline),"Signaling, Luring, Eating, Buffing",,,,"The Fear's stealth camo rapidly depletes his stamina, forcing him to scavenge for food mid-fight. When his stamina is low, he shoots down fruit from trees and eats it to restore his energy. During this moment, he is vulnerable, but he cannot be stopped from consuming food—he will always eat if food is available. However, players can manipulate this mechanic by throwing out their own food items, including poisoned or rotten food. The Fear will prioritize eating nearby food, meaning players can trick him into poisoning himself, leading to his stamina draining even faster.",,,,,,,,,,,,,,,,,,,,,Ocelot deduces that Tatyana (EVA) is a double agent by smelling motorcycle gasoline on her clothes.,,,,,
Metal Gear Solid 4: Guns of the Patriots,,34773,380,2008,18,Mature,,TRUE,TRUE,Solid Snake,"Localizing, Navigating, Masking",,,,,,,,,,,,,,,,,,,,,,,,,"Crying Wolf tracks Snake using olfactory sensors, allowing her to detect him even in a blizzard where visibility is low. If Snake calls Otacon, he realizes that moving downwind could help mask his scent and avoid detection.","Crying Wolf tracks Snake using olfactory sensors, allowing her to detect him even in a blizzard where visibility is low. If Snake calls Otacon, he realizes that moving downwind could help mask his scent and avoid detection.",,,,
Miitopia,,92799,143620,2016,7,Everyone,,TRUE,TRUE,fart,"Emanating, Buffing",,,,,,"Twerky is an enemy with an absurd design—a humanoid turkey with buttocks for a face. One of its attacks is farting on the entire team, which angers party members upon impact. The fart attack functions as a status effect move, triggering the Anger status condition in affected allies. This increases their damage output but lowers teamwork potential.",,,,,,,,,,,,,,,,,,,,,,,,
Mini Ninjas,,42859,2192,2009,7,Everyone,,TRUE,TRUE,fart,"Emanating, Damaging",,,,,,One of the bosses uses a fart-based attack as their primary offensive move. This boss fans clouds of farts toward the player character.,,,,,,,,,,,,,,,,,,,,,,,,
Monster Hunter (series),,26011,69721,2004,12,Everyone,,TRUE,TRUE,meat,"Eating, Luring, Buffing, Damaging",,,,"Hunters can strategically place meat on the ground as bait. Large monsters may become distracted and eat it, leaving them temporarily vulnerable. If the meat is combined with certain substances beforehand, it can inflict additional status effects, such as paralysis, poison, or sleep. However, effectiveness varies by monster: some cautiously avoid the bait if hunters are nearby, while others eagerly consume it regardless of danger.",,,,,,,,,,,,,,,,,,,,,,,,,,
Monster Hunter 2,,199007,43668,2006,,,,TRUE,TRUE,Congalala fart,"Emanating, Reflexing, Buffing",,,,,,"The Congalala is known for its frequent fart-based attacks. Its gas is potent enough to temporarily nauseate hunters, preventing them from using items if they're hit.",,,,,,,,,,,,,,,,,,,,,,,,
Monster Hunter 4,,160583,65676,2013,,,,TRUE,TRUE,Seltas Queen gas,"Emanating, Reflexing, Buffing",,,,,,"When enraged, the Seltas Queen releases a large cloud of noxious gas from her lower body. Hunters hit by this gas become nauseated, temporarily losing the ability to use items.",,,,,,,,,,,,,,,,,,,,,,,,
Monster Hunter Portable 3rd,,90018,42759,2010,,,,TRUE,TRUE,"deodorant, Volvidon, Steel Uragaan","Emanating, Reflexing, Buffing, Masking",,,,,,"The monsters Volvidon and Steel Uragaan release foul-smelling gas from their bodies. This gas inflicts the ""Soiled"" status effect, temporarily preventing hunters from using items. The effect persists until it naturally wears off or is removed with a Deodorant item.",,,,,,,,,,,,,,,,,,,,,,,,
Monster Hunter: Stories,,92903,9692,2016,7,Everyone,,TRUE,TRUE,Navirou fart,"Emanating, Reflexing, Buffing",,,,,,"Navirou acquires the abilities of a Congalala, which include gaseous attacks. Notably, one of the game's most climactic battles concludes dramatically with Navirou inflating to a massive size and defeating the enemy monster by unleashing a powerful fart attack.",,,,,,,,,,,,,,,,,,,,,,,,
Monster Hunter: World,,101948,36926,2018,16,Teen,,TRUE,TRUE,,"Navigating, Localizing, Memorizing",,,,,,,,,,,,,,,,,,,,,,,,,,"Scoutflies assist hunters by reacting to scents. Typically, they cluster around nearby objects of interest, but when exposed to a specific monster's scent, they swarm and create a clear visual trail, guiding the Hunter directly to their prey. Their tracking efficiency improves as they become more familiar with the monster's scent.",,,,
Monster Rancher (series),,4425,4104,1997,,Kids to Adults,,TRUE,TRUE,fart,"Emanating, Buffing, Damaging",,,,,,"Several monsters (including Hare and Ape species) use a special attack called ""Gas,"" which releases noxious fumes. Although it deals minimal direct damage, this move significantly reduces an opponent's ""Guts,"" hindering their ability to act. Hare's gas attack was notably present in earlier games and significantly reduced opponents' Guts, though it was later removed in subsequent installments.",,,,,,,,,,,,,,,,,,,,,,,,
Mortal Kombat (series),,599,1618,1992,,Teen,,TRUE,TRUE,fart,"Emanating, Buffing, Damaging",,,,,,"Bo' Rai Cho, a Drunken Master, weaponizes flatulence in his combat style. In earlier games, he has fatalities involving explosive fart attacks, while in Mortal Kombat X, his gas is potent enough to temporarily stun opponents, leaving them vulnerable to follow-up attacks. The stench is powerful enough to momentarily incapacitate enemies.",,,,,,,,,,,,,,,,,,,,,,,,
Moshi Monsters,,89206,80326,2011,3,Everyone,,TRUE,TRUE,"Glumps (rotten fish and sweat), Glumps goo (rotten fish and sweat)","Emanating, Signaling",,,,,"The Glumps, a servant race of evil minions, are explicitly described as smelling like rotten fish and sweat. Additionally, the goo they secrete carries the same stench.",,,,,,,,,,,,,,,,,,,,,,,,,
Mother 3,,29870,3683,2006,,,,TRUE,TRUE,,"Signaling, Identifying, Punishing",,,,,,,,,,,,,,,,,,,,,,,,,"Boney the dog can sniff enemies to determine their weaknesses and susceptibilities to status effects. However, this ability fails if the enemy has no scent or smells too bad, resulting in a wasted turn.",,,,,
Mutant Football League,,96488,27060,2017,,,,TRUE,TRUE,fart,"Emanating, Buffing",,,,,,"The Orcs of Hazzard team has a unique ""Fart"" dirty trick, a Quarterback Sneak play where the QB releases green gas clouds that stun nearby defenders, preventing them from tackling.",,,,,,,,,,,,,,,,,,,,,,,,
Namu Amida Butsu! -UTENA-,,,,2017,,,,TRUE,TRUE,Kaoru (pleasant),"Emanating, Arousing",,,,,,,,,,,,,,,,"Kongōkō Bosatsu ""Kaoru"" represents the offering of Incense in the Eight Offerings. He is depicted as a femininely sensual character whose main appeal is his naturally pleasant scent. His fragrance is so distinct and alluring that in an official one-panel comic, he is humorously treated as a living air freshener.",,,,,,,,,,,,,,
Napple Tale: Arsia in Daydream,,12054,28152,2000,,,,TRUE,TRUE,,Identifying,,,,,,,,,,,,,,,,,,,,,,,,,"Straynap, the Mentor Mascot / Exposition Fairy, has a keen sense of smell that allows him to identify disguised characters and track fleeing fairies. However, he insists that it’s not actually ""smelling"" but rather ""just a hunch.""",,,,,
Naruto: Uzumaki Chronicles,,26601,20602,2005,12,Teen,,TRUE,TRUE,fart,"Emanating, Damaging",,,,,,One stage features a troop of monkeys that use fart attacks as a form of offense.,,,,,,,,,,,,,,,,,,,,,,,,
Nature And Life - Drunk On Nectar (Early Access),,,31725,2016,,,,TRUE,TRUE,pheromones,"Emanating, Detecting, Localizing, Signaling, Identifying",,,,,,,,,,,,,,"Pheromone detection is a major gameplay feature that enhances the player's ability to sense predators, locate food sources, and track elusive creatures. Depending on the insect species chosen, pheromones function as an essential survival tool, mimicking real-world insect behavior. Some animals only release pheromones at specific times.",,,,,,,,,,,,,,,,
No Man's Sky,,80257,3225,2016,7,Teen,,TRUE,TRUE,pheromones,"Emanating, Signaling, Enchanting",,,,,,,,,,,,,,"The Gek species uses pheromones as a key aspect of their communication, alongside speech and body language. These pheromones play an essential role in their trading-centric culture, helping them negotiate and interact with others. Notably, Gek pheromones can cross species barriers, inducing hallucinations that assist in learning their language. One example occurs when the player asks a Gek for language assistance—their pheromones trigger hallucinatory visions of symbols representing different word groups, guiding the player's language acquisition.",,,,,,,,,,,,,,,,
Octopath Traveler II,,199652,217554,2023,12,Teen,,TRUE,TRUE,"emotions, Hikari's evil side (pungent and foul), D'Arquest, Claude","Identifying, Signaling",,,,,"Ochette, a Beastling (a human-animal hybrid), has an exceptional sense of smell, allowing her to detect emotions, corruption, and supernatural presences purely through scent. She frequently picks up on a ""pungent"" and foul odor associated with D'Arquest, the mysterious antagonist pulling strings behind multiple characters' storylines. This heightened sense of smell plays a key role in narrative moments, including: Ochette senses something ominous and ""foul"" within Hikari, indicating his internal struggle. She detects the residual presence of Claude, D’Arquest’s grandson, through his distinct and unpleasant odor.",,,,,,,,,,,,,,,,,,,,"Ochette, a Beastling (a human-animal hybrid), has an exceptional sense of smell, allowing her to detect emotions, corruption, and supernatural presences purely through scent. She frequently picks up on a ""pungent"" and foul odor associated with D'Arquest, the mysterious antagonist pulling strings behind multiple characters' storylines. This heightened sense of smell plays a key role in narrative moments, including: Ochette senses something ominous and ""foul"" within Hikari, indicating his internal struggle. She detects the residual presence of Claude, D’Arquest’s grandson, through his distinct and unpleasant odor.",,,,,
Oddworld: Abe's Exoddus,,3077,1000,1998,,Teen,,TRUE,TRUE,fart,"Emanating, Damaging",,,,,,"Abe can consume Soulstorm Brew to release a particularly potent fart, which serves as a ranged explosive weapon. Uniquely, Abe can possess these farts through his chanting ability, moving them toward enemies or obstacles before manually detonating them. If left unpossessed, they explode on their own after a few seconds.",,,,,,,,,,,,,,,,,,,,,,,,
Oddworld: Stranger's Wrath,,16376,1002,2005,7,Everyone,,TRUE,TRUE,skunk,"Emanating, Damaging, Reflexing",,,,,,,,,,,,,,,,,,,"The player can use Stunkz, an ammo type that consists of tiny skunks. When fired, Stunkz release a powerful gas cloud, which incapacitates enemies by making them vomit. This creates an opportunity for the player to capture them while they are immobilized. Additionally, the player can later acquire Spark Stunkz, an upgraded variant that sucks enemies in instead of making them vomit, offering an alternative form of crowd control.",,,,,,,,,,,
Ōkami,,24246,1271,2006,12,Teen,,TRUE,TRUE,fart,"Emanating, Damaging",,,,,,"Clay Soldiers, an enemy type in the game, attack by turning around and releasing a fart blast toward the player. This offensive flatulence attack is also shared by one of the masked enemies in the northern region, who utilizes the same moveset.",,,,,,,,,,,,,,,,,,,,,,,,
Orc Attack: Flatulent Rebellion,,95905,7044,2013,,Teen,,TRUE,TRUE,fart,"Emanating, Damaging",,,,,,Orcs can use farts as a special attack.,,,,,,,,,,,,,,,,,,,,,,,,
Ori and the Will of the Wisps,,142015,37001,2020,7,Everyone,,TRUE,TRUE,fart,"Emanating, Damaging",,,,,,Spittle Slugs use flatulence-based area-of-effect (AoE) attacks as part of their offensive strategy.,,,,,,,,,,,,,,,,,,,,,,,,
Orlando Furioso,,,,,,,,TRUE,TRUE,Ruggiero's scent,"Detecting, Signaling, Identifying",,,,,,,,,,,,,,,,,,,,,,,,,"Bradamente possesses an enhanced sense of smell, allowing her to detect the lingering scent of her husband, Ruggiero, on the Hippogriff. This ability is rooted in her source material, Orlando Furioso, where the Hippogriff had previously carried Ruggiero away.",,,,,
Paper Mario,,5498,3340,2000,3,Everyone,,TRUE,TRUE,Princess Peach (nice),Identifying,,,,,,,,"Princess Peach acquires an umbrella that allows her to disguise herself as Bowser’s minions. However, despite her visual disguise being flawless, Kammy Koopa ultimately sees through it because Peach ""smells too nice.""",,,,,,,,,,,,,,,,,,,,,,
Paper Mario: The Thousand-Year Door,,15199,328663,2004,3,Everyone,,TRUE,TRUE,"Hooktail's feet, Putrid Piranha breath","Buffing, Reflexing, Damaging",,,,,,,,,,,,,,,,,,"Hooktail, a dragon boss, exhibits a fixation on feet that manifests in both threats and deception. When close to defeat, she tries to bargain for a truce, claiming Mario can smell her ""world-renowned"" feet"": though this is an obvious trick. In the Switch remake, an additional scent-related detail is introduced: Koopley (Koops' father) nearly defeated Hooktail, but he was stunned by the odor of her feet at the last moment, which allowed Hooktail to devour him while he was distracted.",,,,,,,,,,,"Putrid Piranhas are recurring enemies known for their notoriously foul breath, which is so putrid that it functions as an attack. When they exhale towards Mario, their breath can poison him, causing damage over time.",
Penumbra: Overture,,27347,8944,2007,12,Mature,,TRUE,TRUE,beef jerky,"Eating, Luring",,,,"Players can use packets of beef jerky as a stealth tool to distract zombified dogs. By throwing jerky before the enemies detect them, players can lure the dogs away, giving them a chance to either sneak past or execute a sneak attack.",,,,,,,,,,,,,,,,,,,,,,,,,,
Persona 4,,38259,9600,2008,16,Mature,,TRUE,TRUE,humans,"Detecting, Identifying",,,,,,,,,,,,,,,,,,,,,,,,,"Teddie has the unique ability to ""smell"" humans trapped inside the TV World. This ability allows him to detect people who have been kidnapped and thrown into the Midnight Channel.",,,,,
Persona 5,,86408,9927,2016,16,Mature,,TRUE,TRUE,protagonist (cafe),Signaling,,,,,,,,,,,,,,,"The protagonist lives and works in LeBlanc, a small café, where he brews coffee and learns about specialty coffee blends from Sojiro Sakura. Due to his frequent exposure, his teammates occasionally comment that he always smells like coffee.",,,,,,,,,,,,,,,
Phoenix Wright: Ace Attorney – Justice For All,,24748,1427,2002,12,Teen,,TRUE,TRUE,pepper,"Emanating, Reflexing",,,,,,,,,,,"In the third case (""Turnabout Big Top""), the central mystery revolves around a fatal lion attack caused by a sneeze. The defendant, Acro, attempted to murder Regina Berry because she had put pepper on his brother’s scarf. When the lion tamer put his head inside the lion’s mouth, the pepper caused the lion to sneeze, leading to a fatal accident.",,,,,,,,,,,,,,,,,,,
