Game Title,Set Title,Year,Format,Moby ID,BoardGameGeek ID,IGDB ID,Designer(s),Publisher,Description,Mechanics,Facilitator Present,Facilitator participates in game?,Players Min,Players Max,Smells Min,Smells Max,Smells,Example Smells,Smell Specificity (Swappability),Specificity Note,Smell Count Flexibility,Flexibility Note,Cost,Currency,Target Audience,Descriptive Source,citationKey,Tags,Variant,URLs,Target Species,Realized or Description?,Complexity_1_Light,Complexity_2_MediumLight,Complexity_3_Medium,Complexity_4_MediumHeavy,Complexity_5_Heavy,Images,Notes
Guessing by smell,,2023,Analog,,,,Loodens,,"In the game ""Guessing by Smell,"" players take turns being blindfolded and trying to identify objects using only their sense of smell. The game is played in teams, and players alternate turns between teams.",Identifying,Player,TRUE,2,,1,,,,None,,Fully Flexible,,,,5+ years old,,,,,https://www.loodens.com/games/guess-what-is-smelling/,Human,,,,,,,N.A.,
Guilty Smells,,2019,Digital,,,,"Heather Kelley, Paolo Pedercini",,"The ""Guilty Smells"" game is a multi-sensory, dystopian satire where players, as a police sniffing dog, must identify food smells like tacos, falafel, lo mein, and burgers to determine whether diners are consuming ""patriotic"" or ""foreign"" food. Smells are released through a hardware system as players sniff out the food and decide whether to call the SWAT team based on their findings.","Discriminating, Identifying, Signaling",None,,1,1,4,4,"tacos, falafel, lo mein, burgers",,High,"Can be adapted to exhibition location (was case for artists), but smells need to roughly map to the categories (e.g., reflecting olfactory othering).",Expandable Only,Core four smells seem to be important.,,,,,,Art,,https://www.perfectplum.com/portfolio_category/sense/,Human,,,,,,,GuiltySmells_2019,
Gummy Flavor Game,,2024,Mixed,,,,"Lissa Davis, Elizabeth Kielb, Kameron Moding, Cordelia Running",,"The gameplay involves participants playing a daily flavor identification game using specially formulated gummies over the course of two weeks. Each day, players open a level package containing six flavored gummies and access a corresponding online survey. In each session, they taste the gummies and answer multiple-choice questions to identify their flavors, with difficulty increasing over time: from color-matching ""easy"" rounds in Week 1 to color-mismatched ""hard"" rounds in Week 2.","Eating, Matching, Memorizing, Identifying",None,,1,1,6,,,,Medium,"Needs to be distinguishable, edible, and consistent in form-factor.",Fully Flexible,,,,,,,"Research, Dietary Education",,https://onlinelibrary.wiley.com/doi/full/10.1002/fsn3.4272,Human,,,,,,,GummyFlavorGame_2024,
Haptic Atomic,,2006,Digital,,,,"Emmanuelle Richard, Angèle Tijou, Paul Richard, J.-L. Ferrier",,"This is an educational virtual environment that uses haptic feedback to help students learn about the Bohr atomic model. Players interact with the atomic orbitals, using tactile sensations to understand energy levels and electron transitions. Different scents are associated with specific energy levels and orbital shapes, enhancing learning by pairing olfactory cues with abstract scientific concepts.","Memorizing, Experiencing",None,,1,1,,,,,,,,,,,,Richard et al. 2006,,"Research, Educational game, Serious game",,https://link.springer.com/content/pdf/10.1007/s10055-006-0040-8.pdf,Human,,,,,,,HapticAtomic_2006,
Hide & Seek,,2009,Analog,,,,"John Rice, Suzanne Clothier",,"The gameplay involves a handler hiding from the dog in various locations, such as partially open closets, shower stalls, or behind open doors, in a darkened house or outdoor environment. The dog is prompted to find the handler with a command like ""FIND IT,"" which initiates the search.",Localising,Dog handler,FALSE,1,1,1,,,,None,,Fully Flexible,,,,,Rice & Clothier 2009,,"Animal game, Educational game",,"Scent games for dogs, https://www.myherodogtraining.com/wp-content/uploads/2017/07/Scent-Games.pdf",Dog,,,,,,,,
High Tea Assassin,,2019,Analog,,,,Jenn Sandercock,,"""High Tea Assassin"" is a social deduction game of royalty, loyalty, and jam-based assassination. Over delicate bites of afternoon tea, each round crowns a new Monarch who must determine (based only on verbal persuasion and gut instinct) who among their two guests is a Loyal Subject and who is secretly an Assassin. After a round of questioning, the Monarch trades tea treats with one of them. If they misjudge, they'll meet their sticky end via poisoned jam. Fast-paced, delicious, and delightfully theatrical, even the losers get a taste of victory through edible consolation.","Eating, Damaging, Punishing, Rewarding, Signaling",Host,TRUE,3,3,6,,,,High,Needs to be high-tea foods.,Fully Flexible,,,,5+,,,,,Edible Games,Human,,,,,,,,
Hook Line & Stinker,,1980,Analog,,6490,,,Colorforms,"Players take turns using magnetic rods to fish for colorful catches, but hidden among the fish and junk is the dreaded Scratch and Sniff Skunk. If you reel him in, you're challenged to scratch and sniff his patch (if you dare) releasing a hilariously awful odor into the air. The first player to catch three fish of the same color wins.",Punishing,None,,2,4,1,1,skunk,,Exact,Needs to be a skunk smell since the game has a skunk punishment.,Fixed,Game only really uses smell as a punishment.,,,4+ years,,,Commercially available,,https://boardgamegeek.com/boardgame/6490/hook-line-and-stinker,Human,,1,0,0,0,0,,
I remember,,2000,Analog,,,,Ken Redgrave,,"In this memory-based game, players recall specific smells (or tastes, sounds, or colors) tied to past experiences. Prompts like ""Can you remember a special smell from the seaside?"" or ""What did your grandmother use that smelled nice?"" encourage players to share memories linked to different sensory experiences. It's a conversational and reflective game that fosters connection through sensory-based storytelling.",Associating,None,,2,,1,,,,None,,Fully Flexible,,,,,Redgrave 2000,redgrave_care-therapy_2000,"Informal game, Conversational game, Educational game",,https://archive.org/details/caretherapyforch0000redg/page/144/mode/2up?q=smell+game,Human,,,,,,,N.A.,
Jay and Silent Bob Smell My Finger Game,,2019,Analog,,311275,,,Playstorm Toys,"In ""Jay and Silent Bob Smell My Finger Game,"" players compete by selecting different scents, placing them in wearable finger devices, and using their noses to identify the smells. The game features 12 wearable fingers, 52 hint cards, and 10 ""smell off"" cards. Players earn points by correctly guessing the scent based on clues from the hint cards, and lose points for incorrect guesses. The first player to earn 10 points wins the game. The scents used can come from everyday household items or anywhere players choose to find them, adding a customizable and humorous twist to the gameplay.",Identifying,None,,2,8,1,,,,None,,Fully Flexible,,30,USD,12+ years,Playstorm Toys,,Commercially available,,https://boardgamegeek.com/boardgame/311275/jay-and-silent-bob-smell-my-finger-game,Human,,,,,,,,
Jumper,,2021,Digital,,,,Martin Wibom,,"In ""Jumper,"" the scent component is integrated as a central element of the game, where players perform smell training while engaging in gameplay. The core mechanic involves players positioning their character to avoid oncoming obstacles and ""catch"" scent objects, which appear in sync with the scent material they have chosen to use. The player must move the scent object under their nose when prompted by the game, actively training their sense of smell while reacting to visual cues. Each successfully dodged obstacle earns the player points, while failing results in a brief freeze in gameplay, reinforcing the rhythm of smelling and reacting.","Buffing, Detecting",None,,1,1,1,,,,None,,Fully Flexible,,,,,Wibom 2021,,"Research, Smell Training, Niedenthal-related",,http://urn.kb.se/resolve?urn=urn:nbn:se:mau:diva-45926,Human,,,,,,,Jumper_2021,
K9 Nose Work,,2006,Analog,,,,"Ron Gaunt, Amy Herot, Jill Marie O'Brien",,"""K9 Nose Work"" is a structured scent-based activity developed in 2006 by professional detection dog trainers Jill Marie O'Brien, Ron Gaunt, and Amy Herot. It introduces companion dogs to the fundamentals of scent detection through playful search tasks. Dogs are encouraged to explore environments and locate hidden odor sources. The activity has grown into a competitive sport governed by the National Association of Canine Scent Work (NACSW).","Identifying, Navigating, Detecting, Localising",Dog handler,FALSE,1,1,1,,,,None,,Fully Flexible,,,,,,,"Educational game, Animal game, Sport game",,https://reactivechampion.blogspot.com/2012/06/k9-nose-work-seminar-introduction.html,Dog,,,,,,,N.A.,
Kill your enemy (Commander Game),,2015,Analog,,,,Beng Yuenyong,,"""Kill Your Enemy"" is a scent-based team game where players are split into red and blue teams. Each player wears a headband containing a scent labeled with a role, such as General, Soldier, or Bomb. Players approach opponents and sniff their headbands to determine their rank and decide whether they can ""defeat"" them based on role hierarchy: for example, the General can defeat all roles except the Bomb.","Organizing, Identifying",None,,6,6,3,,,,Medium,"While the specific identity of each scent could be swapped (e.g., mint, lemon, clove), they must be clearly distinguishable to reliably convey game roles.",Expandable Only,"More roles and corresponding scents could be added to deepen the game, but reducing the number below three would break the game logic.",,,,Ueda 2020,,Art,,,Human,,,,,,,,There's this other underlying mechanic about odor strength hmmm
Kiss Me,,2007,Digital,,,,"Stephen Boyd Davis, Gordon Davies, Ruba Haddad, Mei-Kei Lai",,"Players identify a specific scent they experienced earlier to match it with the correct character, representing their spouse. Incorrect guesses result in a virtual slap, while correct guesses reward a virtual kiss.","Memorizing, Identifying",None,,1,1,3,3,"lavender, jasmine, citrus",,None,,Fully Flexible,,,,,Davis et al. 2007,,Research,,https://link.springer.com/content/pdf/10.1007/978-1-84628-664-3_3.pdf,Human,,,,,,,N.A.,
Knowing Mama's Scent,,2008,Analog,,,,Lawrence Shapiro,,"In the ""Knowing Mama's Scent"" game, babies are comforted by their mother's scent when she isn't present. To play, the mother keeps a cloth close while nursing or feeding the baby, allowing the fabric to absorb her scent over time. The cloth is then left with the baby when the mother is unavailable, helping to reassure the baby with a familiar smell.",Signaling,Parent,FALSE,1,1,1,1,mother's smell,,Exact,Needs to be the mother's scent.,Fixed,Singular odor.,,,0-1+ years,Shapiro 2008,shapiro_complete_2008,"Developmental game, Informal game",,https://archive.org/details/completeidiotsgu0000shap/page/192/mode/2up,Human,,,,,,,N.A.,pg 192
Koodoo (from Follow Your Nose),Follow Your Nose,1991,Analog,,,,,Discovery Toys,"""Koodoo"" is a scent-based guessing game in which one player smells a scent and must describe it using words, associations, or metaphors (without naming it directly) so that the other players can correctly.","Labeling, Identifying",None,,2,4,16,16,"strawberry, apple, cinnamon, pine tree, chocolate, bubble gum, banana, wood, rose, licorice, mint, cookies, soap, orange, grass, soil",,None,,Fully Flexible,,,,,Discovery Toys 1991,,Commercially available,,https://www.ebay.com/itm/275344426802,Human,,,,,,,Take picture at home,
Kumikō (from 香道/Kōdō),Kōdō,1336-1573,Analog,,,,,,"In Kōdō, two main forms of incense-based gameplay are kumikō and genjikō, both designed to train and challenge the sense of smell through structured, meditative comparison. In kumikō, participants smell a series of incense samples (some repeated, some not) and must determine which scents match or differ, often recording their guesses with symbolic patterns or poetic phrases. Both games are performed in silence, emphasizing concentration, memory, and appreciation of subtle fragrance differences as a refined form of olfactory play.","Identifying, Experiencing, Labeling, Discriminating",Host,FALSE,2,,,,,,,,,,,,,,,Cultural,,https://www.tenkundo.co.jp/en/kodo/history.html,Human,,,,,,,Historical?,
L'odorat,,N.D.,Analog,,,,Véronique Debroise,SentoSphère,"In ""L'Odorat,"" a Montessori-inspired game, children help bees gather pollen by identifying different fruit, vegetable, and plant scents. Players smell a capsule, then race to place their bee on the matching illustrated plant or flower on the board. Only the first bee placed stays on the board, promoting quick scent recognition.","Identifying, Matching, Navigating",None,,2,4,16,16,"jasmine, mint, mushroom, mango, apple, honey, strawberry, pine, lily of the valley, lavender, lemon, rose, pear, violet, vanilla, raspberry",,Low,"Needs to be smells representing fruits, flowers, and plants.",Fully Flexible,,24,EUR,3+ years,,,Commercially available,,https://www.sentosphere.fr/gb/smell-games/12-jeu-sensoriel-l-odorat-3373910001366.html,Human,,,,,,,,
Le Loto des Odeurs,,1988,Analog,,18981,,Véronique Debroise,SentoSphère,"""Loto des Odeurs"" is an olfactory game where players identify smells from 30 capsules and match them to illustrations on their gameboards. The game includes a variety of natural and recreated scents, such as mint, eucalyptus, and strawberry. The first player to correctly complete their board wins.","Identifying, Memorizing",None,,1,5,30,1,"lemon, eucalyptus, mint, orange, pine, fennel, lavender, vanilla, orange blossom, chimney fire, ocean, black currant, pineapple, strawberry, grass, banana, honey, lily of the valley, honeysuckle, rose, grapefruit, apricot, soap, mushrooms, hazelnut, melon, coconut, violet, cookie, apple",,None,,Fully Flexible,,34,EUR,4+ years,Sentosphère,,Commercially available,,https://www.sentosphere.fr/gb/smell-games/11-le-loto-des-odeurs-3373910000130.html,Human,,1,0,0,0,0,LeLotoDesOdeurs_1988,
Le Loto des Saveurs,,2008,Analog,,84764,,Véronique Debroise,SentoSphère,"""Loto des Saveurs"" is a sensory taste game where players compete to identify different flavors by tasting micro-candies with minimal sugar content. Players must recognize each flavor quickly and grab the matching visual card to score points. The game involves identifying up to 30 flavors.","Identifying, Memorizing",None,,1,10,30,30,"peanut, coffee, cinnamon, orange blossom, strawberry, ginger, lime, mandarin, peppermint, mint, liquorice, rose, thyme, vanilla, lemon, eucalyptus, grapefruit, pine, banana, pineapple, star anise, apricot, blackcurrant, cherry, coconut, raspberry, honey, milk, apple, violet",,Low,Edible scents.,Fully Flexible,,33,EUR,7+ years,Sentosphère,,"Commercially available, Tabletop game",,https://www.sentosphere.fr/fr/jeux-du-gout/4-le-loto-des-saveurs-3373910001076.html,Human,,,,,,,,
Le Nez du Bourbon & American Whisky,,2021,Analog,,,,Jean Lenoir,Éditions Jean Lenoir,"​Le Nez du Bourbon & American Whiskey is an educational kit designed to enhance the appreciation of American whiskeys, particularly bourbon.","Identifying, Memorizing",None,,1,1,12,12,"honey, rose, tobacco leaf, cherry, orange, oak, toasted almond, caramel, vanilla, cinnamon, mint, black pepper",,,,,,79,EUR,,Lenoir N.D.,,"Commercially available, Educational",,https://www.lenez.com/en/kits/wine/game,Human,,,,,,,,
Le Nez du Café,,1997,Analog,,,,Jean Lenoir,Éditions Jean Lenoir,​Le Nez du Café is an educational kit designed to enhance the appreciation of coffee notes.,"Identifying, Memorizing",None,,1,1,36,36,"earth, potato, garden peas, cucumber, straw, cedar, clove-like, pepper, coriander seeds, vanilla, tea-rose/redcurrant jelly, coffee blossom, coffee pulp, blackcurrant-like, lemon, apricot, apple, butter, honeyed, leather, basmati rice, toast, malt, liquorice, caramel, dark chocolate, roasted almonds, roasted peanuts, roasted hazelnuts, walnuts, cooked beef, smoky note, pipe tobacco, roasted coffee, medicinal, rubber",,,,,,275,EUR,,Lenoir N.D.,,"Commercially available, Educational",,https://www.fnac.com/a924054/Jean-Lenoir-Le-nez-du-cafe-36-aromes?utm_source=chatgpt.com,Human,,,,,,,,
Le Nez du Vin,,1981,Analog,,317324,,Jean Lenoir,Éditions Jean Lenoir,"The Aroma Race and the Wine Route challenge players' ability to identify and memorize aromas and match them with the wines of France and the world. The game board provides a playful and educational complement to the book and the aroma collection of the 54 Aroma Masterkit. This game is for all wine lovers, whether connoisseurs or neophytes, to play with friends and family. The two levels of difficulty allow you to make rapid progress, educate your nose and enrich your olfactory memory… as you have fun.","Identifying, Memorizing",None,,1,1,54,54,"lemon, grapefruit, orange, pineapple, banana, lychee, melon, muscat, apple, pear, quince, strawberry, raspberry, redcurrant, blackcurrant, bilberry, blackberry , cherry, apricot, peach, marzipan, prune, walnut, hawthorn, acacia, linden, honey, rose, violet, bell pepper / capsicum, mushroom, truffle, wine lees, cedar, pine, liquorice, boxwood (or blackcurrant bud), cut hay, thyme, vanilla, cinnamon, clove, pepper, saffron, leather, musk, butter, toast, roasted almond, roasted hazelnut, caramel, coffee, chocolate, smoky note",,,,,,320,EUR,12+ years,Lenoir 1981,,"Commercially available, Educational",,https://www.lenez.com/en/kits/wine/game,Human,,,,,,,,
Le Nez du Whisky,,2013,Analog,,,,Jean Lenoir,Éditions Jean Lenoir,​Le Nez du Whisky is an educational kit designed to enhance the appreciation of whiskeys.,"Identifying, Memorizing",None,,1,1,54,54,"blackcurrant bud, geranium, honey, rose, tobacco leaf, hay, green grass, pineapple, cherry, peach, pear, apple, lemon, mandarin, orange, pomelo, dried fig, walnut, prune, oak, resinous, sherry, toasted almond, toasted hazelnut, coconut, caramel, chocolate, custard, vanilla, anise, cinnamon, ginger, herbs, mint, nutmeg, allspice, black pepper, liquorice, earthy, biscuit, coffee, toast, malt, butter, leather, broiled meat, smoke, peat, seaweed, seashell, medicinal, rubber, tar, sulfur",,,,,,319,EUR,,Lenoir N.D.,,"Commercially available, Educational",,https://winevibe.com/le-nez-du-whisky-set-for-release/?utm_source=chatgpt.com,Human,,,,,,,,
Leather Goddesses of Phobos,,1986,Mixed,31,,12174,Steve Meretzky,"Infocom, Inc.","""Leather Goddesses of Phobos"" is a comedic, text-based interactive fiction game where players navigate a sci-fi adventure set on Mars and other alien locales. The game famously incorporates a ""scratch-and-sniff"" element for a multi-sensory experience. Players are given a ""scent card"" with numbered circles to scratch and sniff at specific moments in the game, each linked to a particular in-game scenario. Additionally, during one puzzle, players must stop themselves from smelling a frog to kiss it. ","Experiencing, Misdirecting, Pranking, Depriving",None,,1,1,7,1,"pizza, chocolate, mothballs, perfume, garlic, leather, musk",,,,,,,,Teen and up,InfoCom,,Commercially available,,,Human,,,,,,,LeatherGoddessesOfPhobos_1986,
Leisure Suit Larry: Love for Sail!,,1996,Mixed,381,,2912,Al Lowe,"Sierra On-Line, Inc.","""Leisure Suit Larry: Love for Sail!"" is the sixth game in the Leisure Suit Larry series, released in 1996. The game follows Larry Laffer, who finds himself on a cruise ship after being dumped by the previous game's romantic interest. Once on board, Larry enters a mega-contest, where various tasks—ranging from sports to more adult-oriented activities—offer a chance to win a ""romantic"" evening with Captain Thygh, the ship's captain. The game is structured as a point-and-click adventure, with Larry solving puzzles through interactions with objects and characters on the ship. The puzzles often require unconventional thinking and humorous solutions, staying true to the comedic tone of the series. A new feature of the game includes the ""Cybersniff 2000"" card, where players can scratch and sniff odors that correspond to different in-game situations.","Punishing, Pranking, Experiencing",None,,1,1,9,1,"salt air, coconut, musk, gardenia, fart, diesel, fish, cheese, chocolate",,,,,,,,,Sierra Online,,Commercially available,,,Human,,,,,,,LSLLoveForSail_1996,
Lights Out,,2009,Analog,,,,"John Rice, Suzanne Clothier",,The handler hides a treat or toy in a dark room and instructs the dog to seek it out. The game builds the dog's persistence and trust in the handler as they search in low visibility.,Localising,Dog handler,FALSE,1,1,,,,,None,,Fully Flexible,,,,,Rice & Clothier 2009,,"Animal game, Educational game",,"Scent games for dogs, https://www.myherodogtraining.com/wp-content/uploads/2017/07/Scent-Games.pdf",Dog,,,,,,,,
"Male, Female, Armpit, Foot, or Head?",,2015,Analog,,,,Senida Kalender,,"""Male, Female, Armpit, Foot, or Head?"" is a scent-based guessing game in which participants are presented with odor samples extracted from different body parts (armpits, feet, and heads) of both men and women. The objective is to smell each sample and guess both the gender and the body part it came from. One of the female scent samples is provided directly by the game designer.","Identifying, Arousing",None,,1,,6,6,"armpit (men), armpit (women), head (men), head (women), feet (men), feet (women)",,High,Gender and different body parts are important to scent selection.,Fully Flexible,The parts and genders could be modified.,,,,Ueda 2020,,Art,,,Human,,,,,,,,
Master Parfums,,2020,Analog,,,,Anne-Laure Hennequin,,"""Master Parfums"" invites players to test their knowledge of fragrance culture and put their noses to the test through trivia and scent challenges. Players take turns drawing cards with perfume-related questions across three levels of difficulty and four categories, aiming to collect 12 cards and become the Master of Perfumes. Some cards offer olfactory challenges, requiring players to identify scents using the included scent pens, while others may prompt players to design a fragrance or impose temporary setbacks like skipping turns. The winner gets to create a custom fragrance using three scent pens from the game.","Identifying, Memorizing, Composing, Rewarding",None,,2,3,12,12,,,,,,,65,EUR,16+,Hennequin 2020,,"Commercially available, Educational",,https://www.masterparfums.com/en/boutique/games/master-parfums-olfactory-game/,Human,,,,,,,MasterParfums_2020,
Master Taster,,2019,Analog,,,,Jenn Sandercock,,"In ""Master Taster,"" players compete to become the royal food taster for Julius Caesar and Marie Antoinette. Each round, the host announces a new flavor that one of the royals cannot tolerate. Players must close their eyes, taste a mystery food item, and decide (based solely on memory and flavor) if the dish is safe for each ruler. Incorrect decisions eliminate players, sharpening the stakes as the rounds progress. With each round introducing new forbidden flavors (and none repeated), players must rely on both gustatory discrimination and mental recall to survive. The last remaining contestant is crowned the Master Taster.","Eating, Discriminating, Identifying, Memorizing, Detecting",Host,FALSE,4,10,2,,,,Low,Needs to be food.,Fully Flexible,,,,5+,,,,,Edible Games,Human,,,,,,,,
Match Up Numbers Game (from Scents Sort Match-Up),,2008,Analog,,,,Roylco,,"Players match numbered scent containers with their corresponding scent descriptions or images, reinforcing both numerical recognition and olfactory memory.","Identifying, Matching",None,,1,,30,30,"apple, pear, peach, papaya, mango, rose, tulip, carnation, grass, banana, honey, kiwi, tea, licorice, cucumber, peppermint, nutmeg, spearmint, cinnamon, maple syrup, lemon, pineapple, orange, cantaloupe, grapefruit, raspberry, strawberry, blueberry, grape, watermelon",,None,,Fully Flexible,,,,3+ years,Roylco 2008,,"Commercially available, Educational game",,https://web.archive.org/web/20240222085146/https://roylco.com/shop/r62301-scents-sort-match-up-kit/,Human,,,,,,,ScentsSortMatchUp_2008,https://roylco.com/wp-content/uploads/2017/05/62301-Scents-Sort-Match-Up-Kit-Guide-CA0501-156.pdf
Math serious game,,2021,Digital,,,,"Miguel Garcia-Ruiz, Bill Kapralos, Genaro Rebolledo-Mendez",,"In this Math Serious Game, players are tasked with counting pineapples and entering the correct sum. If the answer is correct, the game releases a fragrance.",Rewarding,None,,1,1,1,1,air freshener,,Low,"Conceptually, the reward smell is likely pleasant.",Expandable Only,"Only included for reward, though could be expanded to be dependent on the type of success, for example.",,,,Garcia-Ruiz et al. 2021,,"Research, Educational",,https://dl.acm.org/doi/abs/10.1007/978-3-030-90963-5_1,Human,,,,,,,Can't access,
Message in a Bottle (from Kendra's Smelly Game Show),Kendra's Smelly Game Show,2018,Analog,,,,Kendra Gaeta,,"Players must detect ""fact from fiction"" by interpreting an associated scent. ",Discriminating,Host,FALSE,2,,2,,,,None,,Fully Flexible,,,,,,,Art,,https://www.mediamatic.net/en/page/370874/playhouse-game-show,Human,,,,,,,MessageInABottle_2018,
Mix Me,,2007,Digital,,,,"Stephen Boyd Davis, Gordon Davies, Ruba Haddad, Mei-Kei Lai",,"Players must identify a specific scent within a mixture, challenging their ability to discern individual smells.","Discriminating, Identifying",None,,1,1,1,,,,Medium,The individual smells need to be distinctive and consistent to allow accurate identification within a mixture.,Expandable Only,"More smells can be added to increase difficulty, but reducing them too much eliminates the challenge of mixture detection.",,,,Davis et al. 2007,,Research,,https://link.springer.com/content/pdf/10.1007/978-1-84628-664-3_3.pdf,Human,,,,,,,MixMe_2007,
Mix-Up Match Game (from Scents Sort Match-Up),Scents Sort Match-Up,2008,Analog,,,,Roylco,,"Players try to correctly match scents with their corresponding pictures or names, challenging their ability to identify and recall scents.","Matching, Identifying",None,,1,,30,30,"apple, pear, peach, papaya, mango, rose, tulip, carnation, grass, banana, honey, kiwi, tea, licorice, cucumber, peppermint, nutmeg, spearmint, cinnamon, maple syrup, lemon, pineapple, orange, cantaloupe, grapefruit, raspberry, strawberry, blueberry, grape, watermelon",,None,,Fully Flexible,,,,3+ years,Roylco 2008,,"Commercially available, Educational game",,https://web.archive.org/web/20240222085146/https://roylco.com/shop/r62301-scents-sort-match-up-kit/,Human,,,,,,,ScentsSortMatchUp_2008,https://roylco.com/wp-content/uploads/2017/05/62301-Scents-Sort-Match-Up-Kit-Guide-CA0501-156.pdf
My Perfume Making Lab,,2019,Analog,,,,,Mighty Mojo Toys,"""My Perfume Making Lab"" focuses on olfactory play by letting kids mix and create their own fragrances, roll-ons, and air fresheners. Using essential oils, tea infusions, and scent strips, children experiment with how smells combine, change over time, and interact with different materials. The kit encourages sensory exploration through hands-on activities like scent layering, testing intensity, and designing custom blends","Composing, Capturing",None,,1,1,5,5,,,None,,Fully Flexible,,35.99,USD,,,,"Commercially available, Educational",,https://www.mightymojotoys.com/products/explore-stem-learner-my-perfume-making-lab-air-freshner-diy-scientist-kit?srsltid=AfmBOopvnN1eOuqKGk5fnKsm0L0GOJ9ikZgE9qIruzibioReTYW7m1kn,Human,,,,,,,,
My Summer Perfume Making Lab,,2020,Analog,,,,,Mighty Mojo Toys,"Children create and customize their own perfumes, scents, and crystal potpourri blends. Through hands-on activities like measuring ingredients, extracting aromas from flavored teas, and testing fragrance combinations on scent strips, kids explore the sensory and creative dimensions of smell.","Composing, Capturing",None,,1,1,2,,,,None,,Expandable Only,Needs at least two smells to compose a new fragrance.,21.35,USD,,,,"Commercially available, Educational",,https://www.mightymojotoys.com/products/stem-my-summer-perfume-making-lab-diy-science-kit,Human,,,,,,,,
Mystery smell game,,2021,Analog,,,,Steve Slack,,"In the ""Mystery Smell Game,"" visitors use their sense of smell to guess aromas associated with products from an Edwardian grocery shop. Three synthetic scents, representing tea, mustard powder, and lamp oil, are presented to players. Each scent is hidden under a lift-up flap, and after smelling, participants guess which product the aroma represents. Once they make a guess, lifting the flap reveals the answer along with information about the historical product.",Identifying,None,,1,,3,3,"tea, mustard powder, lamp oil",,Medium,Scents related to an Edwardian grocery shop.,Expandable Only,,,,,Slack 2021,slack_interpreting_2021,,,https://www.google.com/books/edition/Interpreting_Heritage/UhAHEAAAQBAJ?hl=en&gbpv=1&dq=smell+game+-hunting&pg=PA178&printsec=frontcover,Human,,,,,,,N.A.,"I used three of these aromas in a mystery smell game which aimed to help visitors understand what people would have bought in an Edwardian grocery shop (Figure 8.18). Visitors enjoyed guessing tea, but were less keen on mustard powder and lamp oil."
Name That Aroma Game,,2023,Analog,,,,AromaTools,,"""Name That Aroma Game"" is a scent-identification challenge where players smell unlabeled essential oil samples and try to guess the aroma. Each oil is placed in a small, numbered or color-coded vial. Players take turns sniffing each vial and writing down the name they believe corresponds to the aroma. After all vials have been smelled, answers are revealed and points awarded for correct guesses.",Identifying,Host,TRUE,2,,2,,,"peppermint, lemon, lavender, pine",None,,Fully Flexible,,,,,,,,,https://aromatools.com/pages/essential-oil-games,Human,,,,,,,N.A.,
Name That Fume (from Kendra's Smelly Game Show),Kendra's Smelly Game Show,2018,Analog,,,,Kendra Gaeta,,"Teams are given 5 scent strips and must collaboratively identify each scent, writing their guesses on a numbered answer sheet (1–5). The group with the most correct identifications earns points.",Identifying,Host,FALSE,2,,5,5,,,None,,Fully Flexible,,,,,,,Art,,https://www.mediamatic.net/en/page/370874/playhouse-game-show,Human,,,,,,,NameThatFume_2018,
Name the Taste Game,,2008,Analog,,,,Lawrence Shapiro,,"The ""Name the Taste Game"" introduces babies to different taste profiles, encouraging them to associate words and expressions with flavors like sweet, sour, salty, and bitter. Parents taste food, describe its flavor, and invite their baby to taste and express their reaction.","Describing, Experiencing, Judging",Parent,FALSE,1,,1,,,"tart apple, sweet orange, salty pretzels, salty crackers",Low,Needs to be edible.,Fully Flexible,,,,12+ months,Shapiro 2008,shapiro_complete_2008,"Developmental game, Conversational game, Informal game",,https://archive.org/details/completeidiotsgu0000shap/page/192/mode/2up,Human,,,,,,,N.A.,pg 188
Nice-smelling Interactive Multimedia Alphabet,,2006,Digital,,,,Souris Grise Company (for France Telecom R&D),,"This is a playful educational game for children that integrates vision, sound, and olfaction. Players learn letters and words of the alphabet, with each letter accompanied by a specific scent to reinforce learning through multi-sensory engagement.","Memorizing, Experiencing",None,,1,1,26,,,,None,,Fixed,Fixed to the length of the alphabet.,,,,Richard et al. 2006,,"Research, Educational game",,https://link.springer.com/content/pdf/10.1007/s10055-006-0040-8.pdf,Human,,,,,,,N.A.,
Odor Memory Game,,2017,Either,,,,"Jonas Olofsson, Simon Niedenthal, Marie Ehrndal, Marta Zakrzewska, Andreas Wartel, Maria Larsson",,"In the ""Digital Odor Memory"" game from the article, players interact with a grid of squares, each linked to one of eight possible scents. The goal is to match two squares that release the same scent in consecutive attempts, mimicking the classic memory game but with olfactory stimuli instead of visual ones. This game helps train both odor recognition and memory, as players must remember the scent locations across the grid. The game provides feedback and tracks scores, promoting an interactive olfactory learning experience.","Matching, Memorizing",None,,1,1,8,8,,,None,"The exact identity of the scents isn’t crucial, as long as they're distinct enough to be remembered and differentiated by players.",Fully Flexible,,,,18+,Olofsson 2017,,"Research, Smell Training, Niedenthal-related",,http://journals.sagepub.com/doi/10.1177/1046878117702184,Human,Description,,,,,,OdorMemoryGame_2017,
